1,3,45,0.36,8.8,1.001,0.045,0.27,0.45,170,20.7,7
1,3.3,14,0.34,9.5,0.994,0.049,0.3,0.49,132,1.6,6.3
1,3.26,30,0.4,10.1,0.9951,0.05,0.28,0.44,97,6.9,8.1
1,3.19,47,0.32,9.9,0.9956,0.058,0.23,0.4,186,8.5,7.2
1,3.19,47,0.32,9.9,0.9956,0.058,0.23,0.4,186,8.5,7.2
1,3.26,30,0.4,10.1,0.9951,0.05,0.28,0.44,97,6.9,8.1
1,3.18,30,0.16,9.6,0.9949,0.045,0.32,0.47,136,7,6.2
1,3,45,0.36,8.8,1.001,0.045,0.27,0.45,170,20.7,7
1,3.3,14,0.34,9.5,0.994,0.049,0.3,0.49,132,1.6,6.3
1,3.22,28,0.43,11,0.9938,0.044,0.22,0.45,129,1.5,8.1
-1,2.99,11,0.41,12,0.9908,0.033,0.27,0.56,63,1.45,8.1
-1,3.14,17,0.4,9.7,0.9947,0.035,0.23,0.53,109,4.2,8.6
-1,3.18,16,0.37,10.8,0.992,0.04,0.18,0.63,75,1.2,7.9
1,3.54,48,0.4,12.4,0.9912,0.044,0.16,0.52,143,1.5,6.6
-1,2.98,41,0.62,9.7,1.0002,0.04,0.42,0.67,172,19.25,8.3
1,3.25,28,0.38,11.4,0.9914,0.032,0.17,0.55,112,1.5,6.6
1,3.24,30,0.04,9.6,0.9928,0.046,0.48,0.36,99,1.1,6.3
1,3.33,29,0.48,12.8,0.9892,0.029,0.66,0.39,75,1.2,6.2
1,3.12,17,0.42,11.3,0.9917,0.033,0.34,0.53,171,1.1,7.4
-1,3.22,34,0.14,9.5,0.9955,0.044,0.31,0.5,133,7.5,6.5
1,3.33,29,0.48,12.8,0.9892,0.029,0.66,0.39,75,1.2,6.2
1,3.17,19,0.38,11,0.9912,0.038,0.31,0.35,102,2.9,6.4
1,3.47,41,0.42,10.5,0.993,0.049,0.26,0.48,122,1.7,6.8
-1,3.05,25,0.14,9.3,0.9937,0.074,0.67,0.51,168,1.5,7.6
1,3.42,16,0.41,10,0.9951,0.052,0.27,0.47,142,1.3,6.6
1,3.25,56,0.32,10.4,0.9955,0.046,0.25,0.5,245,9,7
1,3.45,35,0.35,10,0.993,0.052,0.24,0.44,146,1,6.9
1,3.38,32,0.39,10.5,0.9961,0.051,0.28,0.53,141,8.7,7
1,3.19,17,0.48,11.6,0.9914,0.047,0.27,0.49,132,1.1,7.4
1,3.1,37,0.36,12.3,0.9906,0.033,0.32,0.71,114,2,7.2
1,3.2,20,0.39,10,0.9974,0.044,0.24,0.53,142,10.4,8.5
1,3.47,7,0.34,10.2,0.9934,0.042,0.14,0.4,47,1.1,8.3
1,3.19,31,0.36,10.8,0.992,0.05,0.25,0.44,100,2.05,7.4
1,3.42,43,0.34,9,0.9939,0.045,0.12,0.51,117,1.5,6.2
